devP,wba,convergance,dy_wrkr_util,dy_mstr_util,detection,mx_wrkr_util,mx_mstr_util,os_wrkr_util,os_mstr_util
0.5,1,60,0.9,-70.1,1,0.173164,-13.104,0,-81
0.5,1.1,53,1,-140.222,101,0.405006,62.8691,0,-162
0.5,1.2,48,1.1,-210.772,1,0.255304,54.1448,0,-243
0.5,1.3,44,1.2,-281.813,101,0.474579,156.59,0,-324
0.5,1.4,41,1.3,-353.549,1,0.235549,152.996,0,-405
0.5,1.5,38,1.4,-425.349,101,0.547591,280.209,0,-486
0.5,1.6,35,1.5,-497.171,1,0.342005,282.183,0,-567
0.5,1.7,33,1.6,-569.801,101,0.609507,440.354,0,-648
0.5,1.8,31,1.7,-642.401,1,0.369927,447.535,0,-729
0.5,1.9,29,1.8,-714.962,101,0.700434,620.299,0,-810
0.5,2,27,1.9,-787.622,1,0.462072,632.006,0,-891
0.6,1,70,0.9,-853.102,101,0.370014,694.679,0,-972
0.6,1.1,62,1,-918.814,1,0.148679,684.937,0,-1053
0.6,1.2,57,1.1,-985.8,101,0.436511,775.918,0,-1134
0.6,1.3,52,1.2,-1053.05,1,0.214082,770.282,0,-1215
0.6,1.4,48,1.3,-1120.61,101,0.511202,885.103,0,-1296
0.6,1.5,44,1.4,-1188.06,1,0.284406,884.266,0,-1377
0.6,1.6,42,1.5,-1257.54,101,0.58047,1025.91,0,-1458
0.6,1.7,39,1.6,-1326.09,1,0.361985,1031.01,0,-1539
0.6,1.8,36,1.7,-1395.16,101,0.657147,1195.31,0,-1620
0.6,1.9,35,1.8,-1464.62,1,0.337477,1203.58,0,-1701
0.6,2,33,1.9,-1533.17,101,0.729281,1393.1,0,-1782
0.7,1,80,0.9,-1593.19,1,0.209794,1381.15,0,-1863
0.7,1.1,72,1,-1653.44,101,0.407407,1455.73,0,-1944
0.7,1.2,65,1.1,-1715.15,1,0.188487,1448.02,0,-2025
0.7,1.3,60,1.2,-1777.98,101,0.471959,1552.05,0,-2106
0.7,1.4,55,1.3,-1840.93,1,0.307214,1550.33,0,-2187
0.7,1.5,51,1.4,-1904.86,101,0.554107,1674.02,0,-2268
0.7,1.6,48,1.5,-1968.67,1,0.309467,1677.75,0,-2349
0.7,1.7,45,1.6,-2032.04,101,0.629951,1824.6,0,-2430
0.7,1.8,42,1.7,-2095.85,1,0.415138,1832.28,0,-2511
0.7,1.9,40,1.8,-2161.36,101,0.685719,2013.37,0,-2592
0.7,2,38,1.9,-2226.34,1,0.396227,2026.14,0,-2673
0.8,1,90,0.9,-2280.28,101,0.364662,2091.95,0,-2754
0.8,1.1,81,1,-2335.89,1,0.188418,2083.28,0,-2835
0.8,1.2,73,1.1,-2392.03,101,0.440767,2172.05,0,-2916
0.8,1.3,67,1.2,-2449.43,1,0.239357,2167.85,0,-2997
0.8,1.4,62,1.3,-2506.22,101,0.50891,2284.22,0,-3078
0.8,1.5,58,1.4,-2565.22,1,0.253122,2284.1,0,-3159
0.8,1.6,54,1.5,-2624.87,101,0.583795,2423.94,0,-3240
0.8,1.7,51,1.6,-2685.08,1,0.340756,2430.88,0,-3321
0.8,1.8,47,1.7,-2744.41,101,0.658733,2594.33,0,-3402
0.8,1.9,45,1.8,-2805.6,1,0.371996,2606.25,0,-3483
0.8,2,43,1.9,-2867.19,101,0.725756,2797.78,0,-3564
0.9,1,100,0.9,-2915.15,1,0.0899037,2787.65,0,-3645
0.9,1.1,90,1,-2965.28,101,0.397942,2867.77,0,-3726
0.9,1.2,81,1.1,-3015.39,1,0.160655,2861.8,0,-3807
0.9,1.3,76,1.2,-3067.55,101,0.477007,2963.31,0,-3888
0.9,1.4,69,1.3,-3119.27,1,0.288556,2962.18,0,-3969
0.9,1.5,64,1.4,-3172.75,101,0.550141,3088.14,0,-4050
0.9,1.6,60,1.5,-3226.16,1,0.342476,3091.26,0,-4131
0.9,1.7,56,1.6,-3280.13,101,0.623136,3241.83,0,-4212
0.9,1.8,53,1.7,-3335.77,1,0.385231,3250.74,0,-4293
0.9,1.9,50,1.8,-3391.51,101,0.691661,3428.73,0,-4374
0.9,2,48,1.9,-3447.37,1,0.334923,3442.72,0,-4455
1,1,101,0.9,-3488.03,101,0.36611,3507.29,0,-4536
1,1.1,98,1,-3529.82,1,0.217348,3499.23,0,-4617
1,1.2,89,1.1,-3574.87,101,0.434723,3591.1,0,-4698
1,1.3,82,1.2,-3620.48,1,0.240533,3587.76,0,-4779
1,1.4,76,1.3,-3666,101,0.516315,3699.41,0,-4860
1,1.5,70,1.4,-3712.9,1,0.265124,3701.31,0,-4941
1,1.6,66,1.5,-3760.75,101,0.587421,3838.69,0,-5022
1,1.7,62,1.6,-3810,1,0.220986,3845.88,0,-5103
1,1.8,59,1.7,-3859.84,101,0.662398,4006.96,0,-5184
1,1.9,55,1.8,-3909.98,1,0.379956,4020.02,0,-5265
1,2,53,1.9,-3960.8,101,0.727812,4210.25,0,-5346
